,Term,Project,TopicID,Screen#,Template Type,Category,Images,Status,Type,
Kartik,2,MOE_SCI,SC5_L009_Investigate_1,6,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC7_L009_Learn_2,4,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L015_Learn_2,2,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L015_Review,6,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,MOE_SCI,SC5_L010_Investigate_1,7,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC7_L010_Review,4,Custom DND,B1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC5_L010_Learn_2,2,Custom DND,B1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC5_L010_Review,4,Custom DND,B1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L016_Investigate_1,7,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC6_L012_Learn_2,5,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L017_Learn_1,2,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L017_Review,2,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L018_Learn_1,4,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC7_L011_Review,2,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L017_Investigate_1,6,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,MOE_SCI,SC6_L013_Learn_1,7,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L018_Investigate_2,6,Custom DND,A1,,Done,Fill in the Blanks,
Kartik,2,MOE_SCI,SC8_L018_Investigate_3,5,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L019_Learn_1,5,Custom DND,B1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L019_Learn_2,4,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L019_Review,4,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC5_L012_Investigate_1,6,Custom DND,C1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC5_L013_Learn_2,6,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC6_L015_Review,4,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC7_L014_Learn_2,3,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L021_Review,2,Custom DND,B1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L022_Review,2,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC5_L014_Review,2,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L023_Review,2,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC6_L016_Review,6,Custom DND,A1,,Done,Drag and Drop,
Kartik,2,MOE_SCI,SC8_L024_Learn_1,5,Custom DND,A1,,Done,Drag and Drop,
