Term,Project,TopicID,Screen#,Template Type,Category,Status,Type,Title or Non Title,Title,Instruction,Tooltip,Webhost link,Title by
2,MOE_SCI,SC5_L009_Investigate_1,6,Custom DND,A1,Done,Drag and Drop,inTitle,Drag and Drop,Drag and drop the sources of water in order from the largest amount to the smallest.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Beta/LOs/MOE/G5/SC5_L009_Investigate_1/app/,Aditi
2,MOE_SCI,SC7_L009_Learn_2,4,Custom DND,A1,Done,Drag and Drop,inTitle,Drag and Drop,Drag the label to its correct spot.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G7/SC7_L009_Learn_2/app/,Aditi
2,MOE_SCI,SC8_L015_Learn_2,2,Custom DND,A1,Done,Drag and Drop,inTitle,Drag and Drop,Label the strength of the magnetic field at each place.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G8/SC8_L015_Learn_2/app/index.html,Aditi
2,MOE_SCI,SC8_L015_Review,6,Custom DND,A1,Done,Drag and Drop,inTitle,Drag and Drop,Drag and drop the words to complete the table.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Beta/LOs/MOE/G8/SC8_L015_Review/app/index.html,Aditi
2,MOE_SCI,SC5_L010_Investigate_1,7,Custom DND,A1,Done,Drag and Drop,inTitle,,Use the observations you made during the activity to complete the graphic organizer.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G5/SC5_L010_Investigate_1/app/index.html,Aditi
2,MOE_SCI,SC7_L010_Review,4,Custom DND,B1,Done,Drag and Drop,inTitle,,Identify the state change that happens when you remove energy from a system.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Beta/LOs/MOE/G7/SC7_L010_Review/app/index.html,Aditi
2,MOE_SCI,SC5_L010_Learn_2,2,Custom DND,B1,Done,Drag and Drop,NotInTitle,,Drag and drop each positive impact on water resources to the correct picture.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G5/SC5_L010_Learn_2/app/index.html,Aditi
2,MOE_SCI,SC5_L010_Review,4,Custom DND,B1,Done,Drag and Drop,NotInTitle,,Identify the causes and effects of acid rain ,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G5/SC5_L010_Review/app/,Aditi
2,MOE_SCI,SC8_L016_Investigate_1,7,Custom DND,A1,Done,Drag and Drop,NotInTitle,,Drag and drop the words to complete the sentences and axis titles below.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Beta/LOs/MOE/G8/SC8_L016_Investigate_1/app/index.html,Aditi
2,MOE_SCI,SC6_L012_Learn_2,5,Custom DND,A1,Done,Drag and Drop,NotInTitle,,Drag and drop to identify the functions of different cell types.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G6/SC6_L012_Learn_2/app/,Aditi
