Week,TopicID,Screen#,left,right,top,bottom,Reader
1,CS_ELA7_L001_Discover,3,,,,,1
1,CS_ELA7_L001_Analyze,2,,,,,1
1,CS_ELA5_L001_Discover,2,,,,,1
1,CS_ELA5_L001_Analyze,2,,,,,1
1,CS_ELA6_L001_Discover,2,,,,,1
1,CS_ELA6_L001_Analyze,2,,,,,1
1,CS_ELA8_L001_Analyze,2,,,,,1
1,CS_ELA8_L001_Discover,2,,,,,1
1,CS_ELA9_L001_Analyze,2,,,,,1
1,CS_ELA9_L001_Discover,2,,,,,1
2,CS_ELA5_L002_Analyze,2,1147,1840,218,651,1
2,CS_ELA5_L002_Analyze,3,30,693,118,605,1
2,CS_ELA5_L002_Analyze,4,1114,1685,189,596,1
2,CS_ELA5_L002_Discover,2,1147,1840,218,651,1
2,CS_ELA5_L002_Discover,3,30,693,118,605,1
2,CS_ELA5_L002_Discover,4,1114,1685,189,596,1
2,CS_ELA6_L002_Analyze,2,,,,,1
2,CS_ELA6_L002_Analyze,3,,,,,1
2,CS_ELA6_L002_Discover,2,,,,,1
2,CS_ELA6_L002_Discover,3,,,,,1
2,CS_ELA7_L002_Analyze,2,,,,,1
2,CS_ELA7_L002_Analyze,3,,,,,1
2,CS_ELA7_L002_Analyze,4,,,,,1
2,CS_ELA7_L002_Discover,2,,,,,1
2,CS_ELA7_L002_Discover,3,,,,,1
2,CS_ELA7_L002_Discover,4,,,,,1
2,CS_ELA8_L002_Analyze,2,,,,,2
2,CS_ELA8_L002_Analyze,3,,,,,2
2,CS_ELA8_L002_Analyze,4,,,,,2
2,CS_ELA8_L002_Discover,2,,,,,2
2,CS_ELA8_L002_Discover,3,,,,,2
2,CS_ELA8_L002_Discover,4,,,,,2
2,CS_ELA9_L002_Analyze,2,,,,,1
2,CS_ELA9_L002_Analyze,3,,,,,1
2,CS_ELA9_L002_Analyze,4,,,,,1
2,CS_ELA9_L002_Discover,2,,,,,1
2,CS_ELA9_L002_Discover,3,,,,,1
2,CS_ELA9_L002_Discover,4,,,,,1
3,CS_ELA5_L003_Analyze,2,,,,,2
3,CS_ELA5_L003_Analyze,3,,,,,2
3,CS_ELA5_L003_Analyze,4,,,,,2
3,CS_ELA5_L003_Discover,2,,,,,2
3,CS_ELA5_L003_Discover,3,,,,,2
3,CS_ELA5_L003_Discover,4,,,,,2
3,CS_ELA6_L003_Analyze,2,,,,,2
3,CS_ELA6_L003_Analyze,3,,,,,2
3,CS_ELA6_L003_Analyze,4,,,,,2
3,CS_ELA6_L003_Discover,2,,,,,2
3,CS_ELA6_L003_Discover,3,,,,,2
3,CS_ELA6_L003_Discover,4,,,,,2
3,CS_ELA7_L003_Analyze,2,,,,,2
3,CS_ELA7_L003_Analyze,3,,,,,2
3,CS_ELA7_L003_Discover,3,,,,,2
3,CS_ELA7_L003_Discover,4,,,,,2
3,CS_ELA8_L003_Analyze,2,,,,,2
3,CS_ELA8_L003_Analyze,3,,,,,2
3,CS_ELA8_L003_Analyze,4,,,,,2
3,CS_ELA8_L003_Discover,4,,,,,2
3,CS_ELA8_L003_Discover,5,,,,,2
3,CS_ELA8_L003_Discover,6,,,,,2
3,CS_ELA9_L003_Analyze,2,,,,,2
3,CS_ELA9_L003_Analyze,3,,,,,2
3,CS_ELA9_L003_Discover,2,,,,,2
3,CS_ELA9_L003_Discover,3,,,,,2
4,CS_ELA5_L004_Analyze,2,,,,,2
4,CS_ELA5_L004_Analyze,3,,,,,2
4,CS_ELA5_L004_Analyze,4,,,,,2
4,CS_ELA5_L004_Discover,2,,,,,2
4,CS_ELA5_L004_Discover,3,,,,,2
4,CS_ELA5_L004_Discover,4,,,,,2
4,CS_ELA6_L004_Analyze,2,,,,,2
